#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  14000      1.26e+00    1.13e+00      2.85e-03    2.02e-03      4.12e-01    3.71e-01    8.3e-06
  14100      1.07e+00    1.26e+00      1.53e-02    1.02e-02      3.47e-01    4.12e-01    8.3e-06
  14200      1.19e+00    1.22e+00      7.06e-03    5.39e-04      3.89e-01    4.00e-01    8.3e-06
  14300      1.08e+00    1.02e+00      8.22e-03    6.58e-04      3.52e-01    3.35e-01    8.3e-06
  14400      1.17e+00    1.49e+00      5.38e-03    1.08e-02      3.84e-01    4.88e-01    8.3e-06
  14500      1.20e+00    1.28e+00      1.33e-02    3.88e-03      3.90e-01    4.19e-01    8.3e-06
  14600      1.22e+00    1.20e+00      1.47e-02    3.83e-03      3.99e-01    3.92e-01    8.3e-06
  14700      1.73e+00    1.37e+00      4.82e-03    6.50e-03      5.65e-01    4.49e-01    8.3e-06
  14800      1.49e+00    1.13e+00      1.17e-02    3.40e-03      4.86e-01    3.70e-01    8.3e-06
  14900      1.37e+00    9.94e-01      4.01e-03    5.52e-03      4.49e-01    3.25e-01    8.3e-06
  15000      1.08e+00    1.06e+00      4.88e-03    4.62e-03      4.10e-01    4.04e-01    5.9e-06
  15100      1.18e+00    8.23e-01      8.62e-03    7.15e-03      4.47e-01    3.12e-01    5.9e-06
  15200      9.98e-01    1.38e+00      6.92e-03    2.59e-03      3.79e-01    5.23e-01    5.9e-06
  15300      1.21e+00    1.24e+00      4.17e-03    6.46e-03      4.62e-01    4.70e-01    5.9e-06
  15400      8.17e-01    1.38e+00      6.32e-03    5.98e-03      3.10e-01    5.24e-01    5.9e-06
  15500      1.25e+00    1.05e+00      2.57e-02    1.55e-02      4.69e-01    3.96e-01    5.9e-06
  15600      1.34e+00    1.18e+00      4.04e-03    9.45e-03      5.11e-01    4.48e-01    5.9e-06
  15700      1.13e+00    1.25e+00      1.27e-02    6.58e-04      4.29e-01    4.75e-01    5.9e-06
  15800      6.48e-01    1.16e+00      9.25e-04    1.85e-03      2.46e-01    4.42e-01    5.9e-06
  15900      1.12e+00    1.14e+00      2.46e-03    1.09e-03      4.26e-01    4.33e-01    5.9e-06
  16000      1.02e+00    9.58e-01      8.58e-04    7.22e-03      4.48e-01    4.19e-01    4.2e-06
  16100      7.09e-01    1.11e+00      1.19e-02    6.36e-03      3.08e-01    4.85e-01    4.2e-06
  16200      9.79e-01    8.60e-01      7.83e-03    1.04e-02      4.28e-01    3.75e-01    4.2e-06
  16300      7.82e-01    9.63e-01      7.89e-03    7.71e-04      3.42e-01    4.22e-01    4.2e-06
  16400      1.26e+00    1.05e+00      2.87e-03    1.53e-02      5.50e-01    4.56e-01    4.2e-06
  16500      7.95e-01    1.15e+00      5.37e-03    1.57e-02      3.48e-01    5.00e-01    4.2e-06
  16600      9.05e-01    9.75e-01      1.42e-02    5.72e-03      3.94e-01    4.27e-01    4.2e-06
  16700      8.39e-01    9.39e-01      4.01e-03    5.25e-03      3.68e-01    4.11e-01    4.2e-06
  16800      1.06e+00    1.00e+00      4.09e-03    1.09e-02      4.66e-01    4.37e-01    4.2e-06
  16900      1.08e+00    8.89e-01      4.67e-03    1.16e-03      4.75e-01    3.89e-01    4.2e-06
  17000      6.86e-01    8.34e-01      1.34e-02    6.97e-03      3.39e-01    4.17e-01    3.0e-06
  17100      8.95e-01    9.15e-01      4.43e-03    9.01e-04      4.48e-01    4.58e-01    3.0e-06
  17200      8.65e-01    8.60e-01      5.25e-03    2.68e-03      4.33e-01    4.30e-01    3.0e-06
  17300      8.93e-01    6.48e-01      3.00e-03    6.50e-03      4.47e-01    3.24e-01    3.0e-06
  17400      8.91e-01    8.48e-01      2.12e-02    3.54e-03      4.39e-01    4.24e-01    3.0e-06
  17500      8.14e-01    7.84e-01      1.08e-03    9.34e-03      4.08e-01    3.91e-01    3.0e-06
  17600      9.65e-01    7.00e-01      1.06e-02    1.27e-03      4.82e-01    3.50e-01    3.0e-06
  17700      9.24e-01    8.07e-01      1.43e-02    1.35e-03      4.60e-01    4.04e-01    3.0e-06
  17800      9.68e-01    7.62e-01      1.26e-02    1.01e-02      4.82e-01    3.80e-01    3.0e-06
  17900      8.32e-01    8.46e-01      7.39e-03    3.19e-03      4.16e-01    4.23e-01    3.0e-06
  18000      7.15e-01    6.28e-01      3.90e-03    1.32e-02      4.04e-01    3.51e-01    2.1e-06
  18100      7.40e-01    6.82e-01      9.04e-04    4.55e-03      4.19e-01    3.86e-01    2.1e-06
  18200      6.94e-01    8.28e-01      4.28e-03    8.85e-04      3.92e-01    4.69e-01    2.1e-06
  18300      7.19e-01    6.93e-01      1.38e-02    3.49e-03      4.02e-01    3.92e-01    2.1e-06
  18400      4.65e-01    6.44e-01      6.15e-03    1.07e-02      2.62e-01    3.62e-01    2.1e-06
  18500      7.11e-01    7.35e-01      5.03e-03    3.04e-04      4.02e-01    4.16e-01    2.1e-06
  18600      6.06e-01    6.77e-01      1.30e-02    1.42e-02      3.38e-01    3.78e-01    2.1e-06
  18700      8.81e-01    9.29e-01      1.96e-02    7.53e-03      4.91e-01    5.25e-01    2.1e-06
  18800      6.88e-01    7.94e-01      1.08e-02    7.98e-03      3.87e-01    4.48e-01    2.1e-06
  18900      6.62e-01    7.84e-01      1.01e-02    4.85e-03      3.72e-01    4.43e-01    2.1e-06
  19000      8.02e-01    6.52e-01      2.64e-02    6.55e-03      4.90e-01    4.11e-01    1.5e-06
  19100      6.88e-01    7.32e-01      1.42e-03    1.71e-02      4.35e-01    4.54e-01    1.5e-06
  19200      6.69e-01    7.98e-01      1.49e-02    2.68e-02      4.16e-01    4.87e-01    1.5e-06
  19300      6.32e-01    7.11e-01      6.24e-03    1.60e-02      3.98e-01    4.42e-01    1.5e-06
  19400      6.98e-01    7.67e-01      6.56e-03    9.47e-03      4.40e-01    4.82e-01    1.5e-06
  19500      7.34e-01    6.99e-01      1.10e-02    6.11e-03      4.60e-01    4.40e-01    1.5e-06
  19600      6.86e-01    7.26e-01      7.12e-03    1.27e-02      4.32e-01    4.54e-01    1.5e-06
  19700      7.83e-01    7.33e-01      4.91e-03    5.30e-04      4.94e-01    4.63e-01    1.5e-06
  19800      7.85e-01    7.78e-01      8.92e-03    5.89e-03      4.94e-01    4.90e-01    1.5e-06
  19900      7.92e-01    6.37e-01      1.87e-02    1.84e-02      4.92e-01    3.92e-01    1.5e-06
  20000      7.86e-01    5.95e-01      4.95e-03    2.88e-03      5.46e-01    4.13e-01    1.1e-06
  20100      5.16e-01    6.60e-01      1.72e-02    4.34e-03      3.46e-01    4.58e-01    1.1e-06
  20200      6.42e-01    6.14e-01      1.58e-02    9.45e-03      4.38e-01    4.24e-01    1.1e-06
  20300      6.16e-01    4.04e-01      4.06e-03    6.90e-04      4.27e-01    2.81e-01    1.1e-06
  20400      5.30e-01    7.31e-01      5.28e-03    1.06e-02      3.67e-01    5.05e-01    1.1e-06
  20500      8.14e-01    6.49e-01      4.07e-03    4.40e-03      5.65e-01    4.50e-01    1.1e-06
  20600      5.05e-01    6.01e-01      6.75e-03    1.28e-02      3.49e-01    4.12e-01    1.1e-06
  20700      5.81e-01    6.45e-01      1.05e-03    1.13e-02      4.04e-01    4.44e-01    1.1e-06
  20800      7.16e-01    6.58e-01      1.03e-02    6.40e-04      4.94e-01    4.57e-01    1.1e-06
  20900      6.64e-01    6.66e-01      6.11e-03    1.47e-02      4.61e-01    4.56e-01    1.1e-06
  21000      5.31e-01    5.45e-01      6.89e-03    1.18e-02      3.98e-01    4.05e-01    7.6e-07
  21100      4.13e-01    6.79e-01      7.74e-03    1.77e-02      3.08e-01    5.01e-01    7.6e-07
  21200      6.19e-01    5.17e-01      1.48e-02    9.79e-03      4.58e-01    3.85e-01    7.6e-07
  21300      5.93e-01    4.09e-01      4.93e-03    1.97e-02      4.46e-01    2.86e-01    7.6e-07
  21400      3.49e-01    6.34e-01      4.32e-03    4.77e-03      2.62e-01    4.77e-01    7.6e-07
  21500      6.48e-01    5.17e-01      1.37e-02    1.60e-02      4.82e-01    3.78e-01    7.6e-07
  21600      4.18e-01    6.10e-01      5.65e-03    5.48e-03      3.13e-01    4.58e-01    7.6e-07
  21700      6.77e-01    6.40e-01      2.48e-02    8.67e-03      4.89e-01    4.80e-01    7.6e-07
  21800      5.79e-01    5.54e-01      1.46e-02    3.65e-03      4.28e-01    4.17e-01    7.6e-07
  21900      4.24e-01    6.30e-01      3.78e-03    1.00e-02      3.18e-01    4.71e-01    7.6e-07
  22000      6.86e-01    5.04e-01      1.44e-02    6.68e-03      5.45e-01    4.04e-01    5.4e-07
  22100      6.34e-01    6.64e-01      1.28e-03    6.45e-03      5.11e-01    5.33e-01    5.4e-07
  22200      5.82e-01    5.32e-01      2.80e-03    7.45e-03      4.69e-01    4.26e-01    5.4e-07
  22300      4.88e-01    5.80e-01      3.58e-03    2.27e-03      3.93e-01    4.67e-01    5.4e-07
  22400      5.36e-01    5.10e-01      8.10e-03    1.93e-02      4.29e-01    3.93e-01    5.4e-07
  22500      6.44e-01    6.30e-01      2.59e-03    1.30e-02      5.19e-01    5.01e-01    5.4e-07
  22600      5.40e-01    6.64e-01      1.58e-03    1.13e-02      4.35e-01    5.30e-01    5.4e-07
  22700      6.07e-01    5.30e-01      1.43e-02    3.73e-03      4.81e-01    4.26e-01    5.4e-07
  22800      5.09e-01    5.47e-01      3.15e-03    7.81e-03      4.10e-01    4.38e-01    5.4e-07
  22900      5.04e-01    6.03e-01      1.70e-02    1.21e-02      3.92e-01    4.80e-01    5.4e-07
  23000      4.91e-01    3.90e-01      1.57e-03    6.21e-03      4.17e-01    3.29e-01    3.8e-07
  23100      5.20e-01    5.04e-01      7.17e-03    3.99e-03      4.39e-01    4.28e-01    3.8e-07
  23200      5.44e-01    5.20e-01      4.46e-03    4.35e-03      4.62e-01    4.41e-01    3.8e-07
  23300      6.53e-01    5.11e-01      4.00e-03    1.52e-02      5.55e-01    4.23e-01    3.8e-07
  23400      5.05e-01    5.69e-01      1.73e-03    3.73e-03      4.29e-01    4.83e-01    3.8e-07
  23500      5.12e-01    5.35e-01      8.62e-03    1.29e-02      4.31e-01    4.47e-01    3.8e-07
  23600      4.20e-01    4.55e-01      1.68e-02    8.81e-03      3.39e-01    3.82e-01    3.8e-07
  23700      4.80e-01    5.26e-01      1.05e-02    4.14e-03      4.02e-01    4.46e-01    3.8e-07
  23800      5.10e-01    4.97e-01      4.51e-03    2.99e-03      4.33e-01    4.22e-01    3.8e-07
  23900      4.72e-01    6.51e-01      6.48e-03    2.02e-03      3.99e-01    5.53e-01    3.8e-07
  24000      5.44e-01    4.45e-01      1.58e-02    6.48e-03      4.70e-01    3.92e-01    2.7e-07
  24100      4.40e-01    4.78e-01      1.12e-02    1.22e-02      3.82e-01    4.15e-01    2.7e-07
  24200      5.30e-01    3.70e-01      1.37e-02    7.10e-03      4.61e-01    3.25e-01    2.7e-07
  24300      5.26e-01    4.58e-01      1.53e-03    1.60e-02      4.66e-01    3.91e-01    2.7e-07
  24400      4.84e-01    4.50e-01      5.11e-03    1.61e-03      4.28e-01    3.99e-01    2.7e-07
  24500      3.08e-01    4.97e-01      2.45e-03    6.17e-03      2.72e-01    4.38e-01    2.7e-07
  24600      3.91e-01    5.43e-01      9.29e-03    1.07e-02      3.40e-01    4.76e-01    2.7e-07
  24700      4.49e-01    4.90e-01      2.82e-03    1.34e-03      3.98e-01    4.34e-01    2.7e-07
  24800      5.27e-01    4.60e-01      9.39e-03    1.43e-02      4.63e-01    3.95e-01    2.7e-07
  24900      4.21e-01    3.61e-01      2.26e-03    2.11e-02      3.73e-01    2.86e-01    2.7e-07
  25000      4.90e-01    5.02e-01      3.66e-03    4.22e-03      4.48e-01    4.59e-01    1.9e-07
  25100      4.37e-01    5.19e-01      1.31e-02    1.71e-03      3.89e-01    4.75e-01    1.9e-07
  25200      4.63e-01    5.39e-01      6.00e-04    4.90e-03      4.24e-01    4.92e-01    1.9e-07
  25300      5.13e-01    4.27e-01      1.64e-02    1.02e-03      4.55e-01    3.91e-01    1.9e-07
  25400      2.60e-01    4.18e-01      4.54e-03    8.27e-03      2.36e-01    3.78e-01    1.9e-07
  25500      5.05e-01    4.03e-01      9.18e-04    3.02e-03      4.62e-01    3.69e-01    1.9e-07
  25600      5.41e-01    4.69e-01      2.22e-02    1.10e-02      4.69e-01    4.22e-01    1.9e-07
  25700      4.90e-01    4.34e-01      1.25e-02    7.54e-03      4.39e-01    3.94e-01    1.9e-07
