#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  22200      9.10e-01    6.53e-01      1.35e-02    3.77e-03      2.61e-01    1.89e-01    1.1e-05
  22300      9.41e-01    9.56e-01      4.20e-03    4.05e-03      2.72e-01    2.76e-01    1.1e-05
  22400      1.04e+00    7.92e-01      5.04e-03    2.33e-03      3.02e-01    2.29e-01    1.1e-05
  22500      1.56e+00    1.40e+00      1.95e-03    5.98e-03      4.51e-01    4.05e-01    1.1e-05
  22600      9.82e-01    9.35e-01      8.52e-03    5.38e-03      2.83e-01    2.70e-01    1.1e-05
  22700      1.12e+00    1.12e+00      4.86e-04    1.76e-03      3.23e-01    3.24e-01    1.1e-05
  22800      8.20e-01    1.09e+00      3.70e-03    2.61e-03      2.37e-01    3.16e-01    1.1e-05
  22900      8.65e-01    8.97e-01      4.07e-04    7.71e-03      2.50e-01    2.59e-01    1.1e-05
  23000      8.49e-01    5.95e-01      4.12e-03    4.82e-03      2.69e-01    1.89e-01    8.9e-06
  23100      9.38e-01    1.02e+00      1.80e-03    3.80e-03      2.98e-01    3.22e-01    8.9e-06
  23200      5.67e-01    9.63e-01      2.03e-03    2.79e-03      1.80e-01    3.06e-01    8.9e-06
  23300      6.34e-01    6.13e-01      9.62e-03    1.27e-03      2.00e-01    1.95e-01    8.9e-06
  23400      8.02e-01    7.63e-01      2.60e-03    9.38e-03      2.55e-01    2.41e-01    8.9e-06
  23500      7.52e-01    1.06e+00      5.24e-03    5.73e-03      2.39e-01    3.36e-01    8.9e-06
  23600      8.03e-01    9.95e-01      5.70e-04    1.47e-02      2.55e-01    3.14e-01    8.9e-06
  23700      7.26e-01    6.54e-01      1.76e-03    8.00e-03      2.30e-01    2.07e-01    8.9e-06
  23800      1.42e+00    6.83e-01      8.43e-03    2.46e-03      4.51e-01    2.17e-01    8.9e-06
  23900      1.00e+00    8.60e-01      4.24e-03    5.84e-03      3.18e-01    2.73e-01    8.9e-06
  24000      8.24e-01    5.93e-01      1.27e-02    8.76e-03      2.85e-01    2.05e-01    7.3e-06
  24100      7.51e-01    7.19e-01      2.86e-03    8.39e-03      2.61e-01    2.49e-01    7.3e-06
  24200      8.55e-01    9.14e-01      6.47e-03    1.60e-03      2.97e-01    3.18e-01    7.3e-06
  24300      9.25e-01    7.73e-01      1.18e-03    3.96e-03      3.22e-01    2.69e-01    7.3e-06
  24400      6.08e-01    8.56e-01      6.69e-03    3.90e-03      2.11e-01    2.98e-01    7.3e-06
  24500      7.36e-01    9.06e-01      1.73e-03    1.12e-02      2.56e-01    3.14e-01    7.3e-06
  24600      9.22e-01    9.76e-01      2.32e-05    7.11e-03      3.21e-01    3.39e-01    7.3e-06
  24700      7.99e-01    7.84e-01      6.20e-04    6.19e-03      2.78e-01    2.72e-01    7.3e-06
  24800      9.57e-01    7.70e-01      3.07e-02    4.60e-03      3.23e-01    2.67e-01    7.3e-06
  24900      7.40e-01    7.51e-01      1.33e-03    4.46e-04      2.57e-01    2.61e-01    7.3e-06
  25000      8.07e-01    6.87e-01      7.40e-03    8.48e-03      3.06e-01    2.60e-01    5.9e-06
  25100      6.21e-01    6.62e-01      6.44e-03    1.71e-03      2.36e-01    2.52e-01    5.9e-06
  25200      7.22e-01    5.17e-01      5.96e-03    4.36e-03      2.74e-01    1.96e-01    5.9e-06
  25300      8.66e-01    7.36e-01      6.90e-03    1.78e-03      3.28e-01    2.80e-01    5.9e-06
  25400      7.25e-01    5.47e-01      3.82e-03    1.59e-03      2.75e-01    2.08e-01    5.9e-06
  25500      6.13e-01    6.30e-01      6.47e-03    8.50e-03      2.32e-01    2.38e-01    5.9e-06
  25600      7.83e-01    4.71e-01      1.52e-03    8.24e-03      2.98e-01    1.78e-01    5.9e-06
  25700      8.77e-01    7.37e-01      2.59e-03    4.37e-03      3.33e-01    2.80e-01    5.9e-06
